         9724626 function calls (9706572 primitive calls) in 4.221 seconds

   Ordered by: cumulative time
   List reduced from 403 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    4.258    4.258 profile_backend.py:55(<lambda>)
        1    0.002    0.002    4.256    4.256 profile_backend.py:43(dynamic)
        1    0.000    0.000    4.151    4.151 model.py:103(analyze)
        1    0.000    0.000    4.092    4.092 model.py:236(_build_frames)
        4    0.000    0.000    4.092    1.023 model.py:207(iter_frames)
        3    0.000    0.000    4.092    1.364 model.py:153(frame_at)
        3    0.000    0.000    4.051    1.350 model.py:226(analyze)
      441    0.008    0.000    4.022    0.009 model.py:260(_analyze_client)
        3    0.006    0.002    3.506    1.169 model.py:336(_failure_impacts)
      441    0.080    0.000    1.729    0.004 networkx_engine.py:171(satellite_connectivity)
14579/4935    0.019    0.000    1.695    0.000 backends.py:541(_call_if_no_backends_installed)
     1758    0.001    0.000    1.671    0.001 model.py:294(<genexpr>)
     1323    0.014    0.000    1.670    0.001 model.py:393(_select_route)
      441    0.079    0.000    1.362    0.003 routing.py:150(select_path)
      441    0.001    0.000    1.313    0.003 <class 'networkx.utils.decorators.argmap'> compilation 20:1(argmap_minimum_cut_17)
      441    0.035    0.000    1.308    0.003 maxflow.py:311(minimum_cut)
    22110    0.071    0.000    1.098    0.000 networkx_engine.py:91(shortest_path)
      441    0.001    0.000    0.997    0.002 <class 'networkx.utils.decorators.argmap'> compilation 24:1(argmap_edmonds_karp_21)
      441    0.001    0.000    0.995    0.002 edmondskarp.py:120(edmonds_karp)
      441    0.055    0.000    0.994    0.002 edmondskarp.py:94(edmonds_karp_impl)
    11229    0.531    0.000    0.983    0.000 networkx_engine.py:126(_shortest_path)
   341066    0.679    0.000    0.901    0.000 digraph.py:677(add_edge)
     2635    0.008    0.000    0.782    0.000 networkx_engine.py:58(reachable_targets)
      441    0.001    0.000    0.712    0.002 <class 'networkx.utils.decorators.argmap'> compilation 28:1(argmap_build_residual_network_25)
      441    0.164    0.000    0.709    0.002 utils.py:80(build_residual_network)
       12    0.000    0.000    0.541    0.045 model.py:227(<genexpr>)
    25627    0.023    0.000    0.501    0.000 networkx_engine.py:36(_graph)
76617/76185    0.032    0.000    0.490    0.000 {built-in method builtins.sorted}
      554    0.112    0.000    0.459    0.001 networkx_engine.py:224(_query_graph)
       11    0.001    0.000    0.438    0.040 model.py:321(<genexpr>)
     3499    0.004    0.000    0.384    0.000 <class 'networkx.utils.decorators.argmap'> compilation 8:1(argmap_descendants_5)
     3499    0.029    0.000    0.376    0.000 dag.py:38(descendants)
   164831    0.043    0.000    0.342    0.000 breadth_first_search.py:108(bfs_edges)
   164831    0.170    0.000    0.294    0.000 breadth_first_search.py:19(generic_bfs_edges)
   349591    0.088    0.000    0.242    0.000 graph.py:509(__getitem__)
   380266    0.137    0.000    0.168    0.000 coreviews.py:81(__getitem__)
  1049840    0.149    0.000    0.149    0.000 {method 'get' of 'dict' objects}
      441    0.097    0.000    0.140    0.000 digraph.py:748(add_edges_from)
      439    0.001    0.000    0.122    0.000 routing.py:286(_any_path)
   369865    0.079    0.000    0.117    0.000 misc.py:645(_clear_cache)
   261747    0.079    0.000    0.109    0.000 reportviews.py:799(<genexpr>)
   580323    0.099    0.000    0.099    0.000 {method 'update' of 'dict' objects}
        1    0.002    0.002    0.099    0.099 dynamic_adapters.py:95(dynamic_analysis_to_dto)
      441    0.006    0.000    0.099    0.000 networkx_engine.py:71(viable_first_hops)
      441    0.005    0.000    0.098    0.000 edmondskarp.py:11(edmonds_karp_core)
      882    0.020    0.000    0.096    0.000 routing.py:47(select_path)
   237223    0.063    0.000    0.092    0.000 digraph.py:912(successors)
     6616    0.004    0.000    0.089    0.000 main.py:253(__init__)
     1172    0.002    0.000    0.087    0.000 dynamic_adapters.py:58(_availability)
     6617    0.013    0.000    0.085    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}


