         3290786 function calls (3284190 primitive calls) in 1.434 seconds

   Ordered by: cumulative time
   List reduced from 310 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    1.445    1.445 profile_backend.py:54(<lambda>)
        1    0.002    0.002    1.444    1.444 app.py:191(_calculate_snapshot)
        1    0.000    0.000    1.342    1.342 facade.py:68(snapshot_at)
        1    0.000    0.000    1.329    1.329 model.py:226(analyze)
      147    0.003    0.000    1.319    0.009 model.py:260(_analyze_client)
        1    0.002    0.002    1.190    1.190 model.py:336(_failure_impacts)
      147    0.030    0.000    0.596    0.004 networkx_engine.py:171(satellite_connectivity)
5122/1714    0.005    0.000    0.581    0.000 backends.py:541(_call_if_no_backends_installed)
      588    0.000    0.000    0.543    0.001 model.py:294(<genexpr>)
      441    0.005    0.000    0.542    0.001 model.py:393(_select_route)
      147    0.000    0.000    0.441    0.003 <class 'networkx.utils.decorators.argmap'> compilation 20:1(argmap_minimum_cut_17)
      147    0.012    0.000    0.439    0.003 maxflow.py:311(minimum_cut)
      147    0.029    0.000    0.432    0.003 routing.py:150(select_path)
     7372    0.022    0.000    0.355    0.000 networkx_engine.py:91(shortest_path)
      147    0.000    0.000    0.336    0.002 <class 'networkx.utils.decorators.argmap'> compilation 24:1(argmap_edmonds_karp_21)
      147    0.000    0.000    0.336    0.002 edmondskarp.py:120(edmonds_karp)
      147    0.022    0.000    0.336    0.002 edmondskarp.py:94(edmonds_karp_impl)
     3731    0.173    0.000    0.317    0.000 networkx_engine.py:126(_shortest_path)
   111830    0.188    0.000    0.259    0.000 digraph.py:677(add_edge)
      147    0.000    0.000    0.221    0.002 <class 'networkx.utils.decorators.argmap'> compilation 28:1(argmap_build_residual_network_25)
      147    0.048    0.000    0.220    0.001 utils.py:80(build_residual_network)
      879    0.003    0.000    0.208    0.000 networkx_engine.py:58(reachable_targets)
     1263    0.001    0.000    0.141    0.000 <class 'networkx.utils.decorators.argmap'> compilation 8:1(argmap_descendants_5)
     1263    0.012    0.000    0.139    0.000 dag.py:38(descendants)
        4    0.000    0.000    0.137    0.034 model.py:227(<genexpr>)
    61195    0.016    0.000    0.125    0.000 breadth_first_search.py:108(bfs_edges)
23987/23843    0.010    0.000    0.124    0.000 {built-in method builtins.sorted}
     8545    0.009    0.000    0.111    0.000 networkx_engine.py:36(_graph)
    61195    0.061    0.000    0.108    0.000 breadth_first_search.py:19(generic_bfs_edges)
        3    0.000    0.000    0.107    0.036 model.py:321(<genexpr>)
      157    0.029    0.000    0.097    0.001 networkx_engine.py:224(_query_graph)
        1    0.000    0.000    0.094    0.094 query_adapters.py:22(snapshot_bundle_to_dto)
        1    0.000    0.000    0.092    0.092 adapters.py:403(static_analysis_to_dto)
       48    0.001    0.000    0.090    0.002 adapters.py:354(_impact_to_dto)
      432    0.001    0.000    0.086    0.000 adapters.py:334(_delta_to_dto)
      876    0.008    0.000    0.080    0.000 adapters.py:206(_route_to_dto)
9598/9502    0.008    0.000    0.080    0.000 main.py:253(__init__)
   111237    0.030    0.000    0.078    0.000 graph.py:509(__getitem__)
    10489    0.016    0.000    0.076    0.000 {built-in method builtins.sum}
9599/9503    0.013    0.000    0.073    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
   126537    0.044    0.000    0.055    0.000 coreviews.py:81(__getitem__)
      147    0.034    0.000    0.050    0.000 digraph.py:748(add_edges_from)
     1752    0.003    0.000    0.050    0.000 dto.py:155(validate_route)
   341226    0.048    0.000    0.048    0.000 {method 'get' of 'dict' objects}
      147    0.002    0.000    0.048    0.000 edmondskarp.py:11(edmonds_karp_core)
     8874    0.043    0.000    0.043    0.000 dto.py:170(<genexpr>)
      147    0.002    0.000    0.043    0.000 networkx_engine.py:71(viable_first_hops)
    88665    0.026    0.000    0.037    0.000 reportviews.py:799(<genexpr>)
   120098    0.024    0.000    0.036    0.000 misc.py:645(_clear_cache)
      294    0.008    0.000    0.034    0.000 routing.py:47(select_path)


