         9334012 function calls (9327416 primitive calls) in 4.779 seconds

   Ordered by: cumulative time
   List reduced from 309 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.057    0.057    4.789    4.789 profile_backend.py:54(<lambda>)
        1    0.002    0.002    4.732    4.732 app.py:191(_calculate_snapshot)
        1    0.000    0.000    4.673    4.673 facade.py:68(snapshot_at)
        1    0.000    0.000    4.659    4.659 model.py:226(analyze)
      147    0.003    0.000    4.649    0.032 model.py:260(_analyze_client)
        1    0.002    0.002    4.518    4.518 model.py:336(_failure_impacts)
      588    0.001    0.000    3.835    0.007 model.py:294(<genexpr>)
      441    0.004    0.000    3.835    0.009 model.py:393(_select_route)
      147    0.061    0.000    3.715    0.025 routing.py:149(select_path)
     7372    0.381    0.000    3.278    0.000 networkx_engine.py:81(shortest_path)
     8545    0.010    0.000    2.561    0.000 networkx_engine.py:30(_graph)
     3584    0.716    0.000    2.544    0.001 networkx_engine.py:182(_query_graph)
   604233    0.927    0.000    1.311    0.000 digraph.py:677(add_edge)
8549/5141    0.009    0.000    0.747    0.000 backends.py:541(_call_if_no_backends_installed)
      147    0.030    0.000    0.726    0.005 networkx_engine.py:129(satellite_connectivity)
      147    0.000    0.000    0.600    0.004 <class 'networkx.utils.decorators.argmap'> compilation 20:1(argmap_minimum_cut_17)
      147    0.013    0.000    0.598    0.004 maxflow.py:311(minimum_cut)
      147    0.000    0.000    0.489    0.003 <class 'networkx.utils.decorators.argmap'> compilation 24:1(argmap_edmonds_karp_21)
      147    0.000    0.000    0.488    0.003 edmondskarp.py:120(edmonds_karp)
      147    0.018    0.000    0.488    0.003 edmondskarp.py:94(edmonds_karp_impl)
   172099    0.307    0.000    0.383    0.000 digraph.py:450(add_node)
      147    0.000    0.000    0.380    0.003 <class 'networkx.utils.decorators.argmap'> compilation 28:1(argmap_build_residual_network_25)
      147    0.048    0.000    0.379    0.003 utils.py:80(build_residual_network)
     7335    0.350    0.000    0.377    0.000 routing.py:34(_path_metrics)
   776920    0.154    0.000    0.229    0.000 misc.py:645(_clear_cache)
      147    0.167    0.001    0.169    0.001 digraph.py:500(add_nodes_from)
   850514    0.165    0.000    0.165    0.000 {method 'update' of 'dict' objects}
   209117    0.057    0.000    0.159    0.000 graph.py:509(__getitem__)
        4    0.000    0.000    0.140    0.035 model.py:227(<genexpr>)
     1263    0.001    0.000    0.140    0.000 <class 'networkx.utils.decorators.argmap'> compilation 8:1(argmap_descendants_5)
     1263    0.011    0.000    0.137    0.000 dag.py:38(descendants)
   962026    0.137    0.000    0.137    0.000 {method 'get' of 'dict' objects}
    61195    0.015    0.000    0.125    0.000 breadth_first_search.py:108(bfs_edges)
      879    0.003    0.000    0.111    0.000 networkx_engine.py:48(reachable_targets)
    61195    0.063    0.000    0.109    0.000 breadth_first_search.py:19(generic_bfs_edges)
   224417    0.080    0.000    0.099    0.000 coreviews.py:81(__getitem__)
   531810    0.086    0.000    0.086    0.000 networkx_engine.py:196(can_depart)
   602404    0.078    0.000    0.078    0.000 graph.py:473(__contains__)
   777188    0.075    0.000    0.075    0.000 {built-in method builtins.getattr}
   524991    0.074    0.000    0.074    0.000 networkx_engine.py:199(can_arrive)
      147    0.039    0.000    0.056    0.000 digraph.py:748(add_edges_from)
        1    0.000    0.000    0.051    0.051 query_adapters.py:22(snapshot_bundle_to_dto)
47159/47015    0.028    0.000    0.050    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.049    0.049 adapters.py:403(static_analysis_to_dto)
   106942    0.035    0.000    0.048    0.000 digraph.py:912(successors)
       48    0.001    0.000    0.047    0.001 adapters.py:354(_impact_to_dto)
      147    0.002    0.000    0.046    0.000 edmondskarp.py:11(edmonds_karp_core)
      294    0.003    0.000    0.045    0.000 routing.py:48(select_path)
      147    0.002    0.000    0.043    0.000 networkx_engine.py:61(viable_first_hops)
      432    0.001    0.000    0.043    0.000 adapters.py:334(_delta_to_dto)


