         3111076 function calls (3105704 primitive calls) in 1.643 seconds

   Ordered by: cumulative time
   List reduced from 311 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.010    0.010    1.651    1.651 profile_backend.py:51(<lambda>)
        1    0.001    0.001    1.641    1.641 app.py:191(_calculate_snapshot)
        1    0.000    0.000    1.519    1.519 facade.py:68(snapshot_at)
        1    0.000    0.000    1.504    1.504 model.py:226(analyze)
      147    0.002    0.000    1.496    0.010 model.py:260(_analyze_client)
        1    0.002    0.002    1.460    1.460 model.py:336(_failure_impacts)
      429    0.000    0.000    1.175    0.003 model.py:294(<genexpr>)
      441    0.002    0.000    1.174    0.003 model.py:393(_select_route)
      147    0.025    0.000    1.133    0.008 routing.py:149(select_path)
     4884    0.170    0.000    1.043    0.000 networkx_engine.py:81(shortest_path)
     5956    0.005    0.000    0.747    0.000 networkx_engine.py:30(_graph)
     2583    0.176    0.000    0.737    0.000 networkx_engine.py:182(_query_graph)
   123860    0.277    0.000    0.331    0.000 digraph.py:450(add_node)
      147    0.015    0.000    0.286    0.002 networkx_engine.py:129(satellite_connectivity)
6669/3847    0.006    0.000    0.250    0.000 backends.py:541(_call_if_no_backends_installed)
   116972    0.148    0.000    0.225    0.000 digraph.py:677(add_edge)
      147    0.000    0.000    0.223    0.002 <class 'networkx.utils.decorators.argmap'> compilation 20:1(argmap_minimum_cut_17)
      147    0.007    0.000    0.222    0.002 maxflow.py:311(minimum_cut)
      147    0.000    0.000    0.167    0.001 <class 'networkx.utils.decorators.argmap'> compilation 24:1(argmap_edmonds_karp_21)
      147    0.000    0.000    0.167    0.001 edmondskarp.py:120(edmonds_karp)
      147    0.014    0.000    0.167    0.001 edmondskarp.py:94(edmonds_karp_impl)
      147    0.000    0.000    0.105    0.001 <class 'networkx.utils.decorators.argmap'> compilation 28:1(argmap_build_residual_network_25)
      147    0.021    0.000    0.105    0.001 utils.py:80(build_residual_network)
        1    0.078    0.078    0.083    0.083 main.py:427(model_dump)
    94841    0.026    0.000    0.075    0.000 graph.py:509(__getitem__)
   241420    0.049    0.000    0.073    0.000 misc.py:645(_clear_cache)
      778    0.002    0.000    0.054    0.000 networkx_engine.py:48(reachable_targets)
     4506    0.036    0.000    0.053    0.000 routing.py:34(_path_metrics)
   281685    0.048    0.000    0.048    0.000 {method 'update' of 'dict' objects}
   288391    0.045    0.000    0.045    0.000 {method 'get' of 'dict' objects}
    98904    0.035    0.000    0.044    0.000 coreviews.py:81(__getitem__)
        4    0.000    0.000    0.043    0.011 model.py:227(<genexpr>)
        1    0.000    0.000    0.038    0.038 query_adapters.py:22(snapshot_bundle_to_dto)
        1    0.000    0.000    0.037    0.037 adapters.py:403(static_analysis_to_dto)
       48    0.001    0.000    0.035    0.001 adapters.py:354(_impact_to_dto)
      432    0.001    0.000    0.031    0.000 adapters.py:334(_delta_to_dto)
6576/6480    0.006    0.000    0.027    0.000 main.py:253(__init__)
      572    0.005    0.000    0.026    0.000 adapters.py:206(_route_to_dto)
   241676    0.024    0.000    0.024    0.000 {built-in method builtins.getattr}
      970    0.001    0.000    0.024    0.000 <class 'networkx.utils.decorators.argmap'> compilation 8:1(argmap_descendants_5)
      147    0.018    0.000    0.024    0.000 digraph.py:748(add_edges_from)
      970    0.006    0.000    0.023    0.000 dag.py:38(descendants)
     6999    0.009    0.000    0.023    0.000 {built-in method builtins.sum}
35216/35120    0.015    0.000    0.023    0.000 {built-in method builtins.sorted}
   129026    0.022    0.000    0.022    0.000 policies.py:40(role)
6577/6481    0.010    0.000    0.022    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
       94    0.000    0.000    0.022    0.000 routing.py:284(_any_path)
      294    0.001    0.000    0.022    0.000 routing.py:48(select_path)
    36897    0.015    0.000    0.021    0.000 reportviews.py:799(<genexpr>)
    39256    0.013    0.000    0.019    0.000 digraph.py:912(successors)


